Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
182,1,3.28254275444991,0,19.4942397038235,0,0,0,0,0,28.1594086534607,0,0,133.939736184046,0.0210520192740783,0,0,0,0,57.9986568845574
183,1,3.22077919654622,0,19.3639697310669,0,0,0,0,0,27.9088265568881,0,0,133.158320137733,0.0189468173466705,0,0,0,0,57.5231402770909
184,1,3.16136172711016,0,19.2347629741096,0,0,0,0,0,27.6628154882826,0,0,132.387744304885,0.0170521356120034,0,0,0,0,57.0585815848136
185,1,3.10418933059631,0,19.1066710702206,0,0,0,0,0,27.4212497775163,0,0,131.627839817508,0.0153469220508031,0,0,0,0,56.6046976219055
186,1,3.04916516967189,0,18.9797447189623,0,0,0,0,0,27.1840217771789,0,0,130.878428808146,0.0138122298457228,0,0,0,0,56.1611991215609
187,1,2.99619641470056,0,18.8540327065438,0,0,0,0,0,26.9510388276823,0,0,130.139321211006,0.0124310068611505,0,0,0,0,55.7277905489007
188,1,2.94519409079947,0,18.7295811409469,0,0,0,0,0,26.7222205860913,0,0,129.410313217724,0.0111879061750355,0,0,0,0,55.3041705387949
189,1,2.89607293094165,0,18.6064328194906,0,0,0,0,0,26.4974966185862,0,0,128.691186749617,0.0100691155575319,0,0,0,0,54.8900326917566
190,1,2.84875123078354,0,18.4846266970675,0,0,0,0,0,26.276804218631,0,0,127.981709626987,0.00906220400177872,0,0,0,0,54.4850665920848
191,1,2.80315070409544,0,18.3641974424535,0,0,0,0,0,26.0600864371364,0,0,127.281636249275,0.00815598360160085,0,0,0,0,54.088958966918
192,1,2.75919633889046,0,18.2451750760287,0,0,0,0,0,25.8472903170706,0,0,126.590708645817,0.00734038524144077,0,0,0,0,53.7013949237514
193,1,2.71681625639106,0,18.1275846958606,0,0,0,0,0,25.638365342024,0,0,125.9086578626,0.00660634671729669,0,0,0,0,53.3220592478405
