"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
218,2.61174331355209,0,14.0847577282812,0,0,0,0,0,37.1774645851185,0,0,0,0,0,0,0,0,0
219,2.49566702996642,0,13.7369088359569,0,0,0,0,0,36.5478527726128,0,0,0,0,0,0,0,0,0
220,2.38494941610312,0,13.4001208792465,0,0,0,0,0,35.9187756153735,0,0,0,0,0,0,0,0,0
221,2.27958653387391,0,13.0765597755905,0,0,0,0,0,35.2894214773377,0,0,0,0,0,0,0,0,0
222,2.17951212162489,0,12.7677317441601,0,0,0,0,0,34.6594989517329,0,0,0,0,0,0,0,0,0
223,2.08461710315121,0,12.4746361379909,0,0,0,0,0,34.0291970011641,0,0,0,0,0,0,0,0,0
224,1.9947634641548,0,12.1978806642136,0,0,0,0,0,33.3991193299657,0,0,0,0,0,0,0,0,0
225,1.90979417738249,0,11.9377667307681,0,0,0,0,0,32.7702036575348,0,0,0,0,0,0,0,0,0
226,1.82954016358721,0,11.6943551100087,0,0,0,0,0,32.1436388163343,0,0,0,0,0,0,0,0,0
227,1.75382532560192,0,11.4675181023668,0,0,0,0,0,31.5207873435258,0,0,0,0,0,0,0,0,0
228,1.67924473927288,0,11.2181147416041,0,0,0,0,0,30.9301847783486,0,0,0,0,0,0,0,0,0
229,1.60638718066799,0,10.9544846433874,0,0,0,0,0,30.3679237986088,0,0,0,0,0,0,0,0,0
230,1.53573179320592,0,10.6837083717972,0,0,0,0,0,29.8310693259211,0,0,0,0,0,0,0,0,0
231,1.4675034694809,0,10.4102461444687,0,0,0,0,0,29.3102081700976,0,0,0,0,0,0,0,0,0
232,1.40186768859021,0,10.1378399344931,0,0,0,0,0,28.7988310006801,0,0,0,0,0,0,0,0,0
233,1.33894084628135,0,9.86961359322181,0,0,0,0,0,28.2927360891409,0,0,0,0,0,0,0,0,0
234,1.27879259069756,0,9.60806727393421,0,0,0,0,0,27.789225188473,0,0,0,0,0,0,0,0,0
235,1.22145442662938,0,9.35517226096497,0,0,0,0,0,27.2867805298622,0,0,0,0,0,0,0,0,0
236,1.16692588213879,0,9.11244241146117,0,0,0,0,0,26.7847575109036,0,0,0,0,0,0,0,0,0
237,1.11517529431317,0,8.88094693088589,0,0,0,0,0,26.2829728551834,0,0,0,0,0,0,0,0,0
238,1.06614899178919,0,8.66140743451286,0,0,0,0,0,25.7816413414535,0,0,0,0,0,0,0,0,0
239,1.01977800238489,0,8.45427257202979,0,0,0,0,0,25.2813049956932,0,0,0,0,0,0,0,0,0
240,0.975982913683596,0,8.2597738561141,0,0,0,0,0,24.7827573062943,0,0,0,0,0,0,0,0,0
241,0.934677428559406,0,8.07796976543558,0,0,0,0,0,24.2869730523007,0,0,0,0,0,0,0,0,0
242,0.89577103937687,0,7.90878157309728,0,0,0,0,0,23.7950467422847,0,0,0,0,0,0,0,0,0
243,0.857415131444177,0,7.72441166430761,0,0,0,0,0,23.3280869216628,0,0,0,0,0,0,0,0,0
244,0.819924007511011,0,7.53065261680688,0,0,0,0,0,22.883322614552,0,0,0,0,0,0,0,0,0
245,0.783553704758796,0,7.33241686175016,0,0,0,0,0,22.4586640202934,0,0,0,0,0,0,0,0,0
246,0.748425646841084,0,7.13277769780841,0,0,0,0,0,22.0468146326287,0,0,0,0,0,0,0,0,0
247,0.71462972995746,0,6.93431394901453,0,0,0,0,0,21.6427159371272,0,0,0,0,0,0,0,0,0
248,0.682229923328661,0,6.73918012873499,0,0,0,0,0,21.2430941722797,0,0,0,0,0,0,0,0,0
249,0.651265534261455,0,6.54910380693538,0,0,0,0,0,20.8458430936532,0,0,0,0,0,0,0,0,0
