"Time","WW","WR","RR"
0,250,0,0
2,252.959248858539,0,0
3,255.622572831225,0,0
4,258.019564406642,0,0
5,260.176856824517,0,0
6,262.118420000604,0,0
7,263.865826859083,0,0
8,265.438493031714,0,0
9,266.853892587082,0,0
10,268.127752186913,0,0
11,269.274225826761,0,0
12,270.306052102624,0,0
13,271.234695750901,0,0
14,272.031296668613,0,0
15,272.674166622055,0,0
16,273.147672542702,0,0
17,273.441260170161,0,0
18,273.548604675824,0,0
19,273.466875025541,0,0
20,274.211006498353,0,400
21,274.994461771954,0,360
22,275.802201628911,0,324
23,276.622108593758,0,291.6
24,277.444555080508,0,262.44
25,278.262022457312,0,236.196
26,279.068929704918,0,212.5764
27,279.861554632449,0,191.31876
28,280.635344709866,0,172.186884
29,281.387964205689,0,154.9681956
30,282.119094647713,0,139.47137604
31,282.830266732541,0,125.524238436
32,283.516338303039,0,112.9718145924
33,284.167606144626,0,101.67463313316
34,284.771274216086,0,91.507169819844
35,285.312502839475,0,482.35645283786
36,285.775185678669,0,434.120807554074
37,286.142532506266,0,390.708726798666
38,284.743641968158,1.76112168438264,351.6378541188
39,282.008201377104,4.85393582268905,316.47406870692
40,278.299918999546,8.91509272358352,284.826661836228
41,273.924347360389,13.6393353231909,256.343995652605
42,269.136039468977,18.7722965905617,230.709596087344
43,264.145004444032,24.1040503884383,207.63863647861
44,259.122518086218,29.4633757136156,186.874772830749
45,254.206341918866,34.7126738703149,168.187295547674
46,249.505033337958,39.743292318603,151.368565992907
47,245.102211158765,44.4716031155071,136.231709393616
48,241.060350480779,48.8355163278876,122.608538454254
49,237.424168677541,52.7913775983297,110.347684608829
50,234.227720306159,56.3129925882704,499.312916147946
51,231.497839178537,59.3894731572902,449.381624533152
52,229.25580608157,62.0225531956726,404.443462079836
53,226.301246588489,65.4407573265196,363.999115871853
54,222.904819624502,69.4045778746053,327.599204284667
55,219.294525507304,73.7181630693301,294.839283856201
56,215.578902798122,78.1301388936649,265.355355470581
57,211.845668793784,82.4606064340245,238.819819923523
58,208.163874184433,86.5828975357068,214.93783793117
59,204.587007119677,90.4100432818243,193.444054138053
60,201.156101807893,93.8847660773471,174.099648724248
61,197.902466360946,96.9720413248535,156.689683851823
62,194.84990399779,99.65351650335,141.020715466641
63,192.016427080592,101.923277909151,126.918643919977
64,189.415757341367,103.784783014097,114.226779527979
65,187.061513114115,105.250706520516,502.804101575181
66,184.968868210285,106.341529319297,452.523691417663
67,183.154887240434,107.083622100795,407.271322275897
68,180.80368978609,108.342660324155,366.544190048307
69,178.100361781599,109.988437053662,329.889771043476
70,175.208826392599,111.915896772687,296.900793939129
71,172.213326790101,113.95351955183,267.210714545216
72,169.188309483696,115.978489479248,240.489643090694
73,166.199213115781,117.905194780884,216.440678781625
74,163.299057081384,119.671082347869,194.796610903462
75,160.530144840038,121.231703345094,175.316949813116
76,157.925569749489,122.556777791914,157.785254831805
77,155.510527924938,123.62710439278,142.006729348624
78,153.303451225245,124.432129527149,127.806056413762
79,151.317189779602,124.968224241135,115.025450772386
80,149.561993039116,125.239177694184,503.522905695147
81,148.047012216172,125.255480422571,453.170615125632
82,146.781016138128,125.033053403349,407.853553613069
83,145.076758483983,125.288435391119,367.068198251762
84,143.082552143131,125.90680123288,330.361378426586
85,140.928205561524,126.795643725821,297.325240583927
86,138.68395615213,127.807630292166,267.592716525535
87,136.410686178655,128.835603395792,240.833444872981
88,134.16119627209,129.803819047491,216.750100385683
89,131.978102227585,130.65625134812,195.075090347115
90,129.895557682186,131.352776550914,175.567581312403
91,127.940836211079,131.866119309138,158.010823181163
92,126.135417104059,132.179058187099,142.209740863047
93,124.495890078217,132.282206945507,127.988766776742
94,123.034843972102,132.172422098706,115.189890099068
95,121.763140654774,131.853331133862,503.670901089161
96,120.691021883133,131.334696384032,453.303810980245
97,119.828584805512,130.63124139247,407.97342988222
98,118.579519963661,130.368220163921,367.176086893998
99,117.071796292397,130.450074802407,330.458478204599
100,115.417732872794,130.799778036991,297.412630384139
101,113.678412537189,131.281868039777,267.671367345725
102,111.907080403068,131.797942258343,240.904230611152
103,110.150064617046,132.278402996424,216.813807550037
104,108.445226442078,132.671872951441,195.132426795033
105,106.823263831824,132.941504314444,175.61918411553
106,105.308942036805,133.062087471477,158.057265703977
107,103.921956773772,133.017456548528,142.251539133579
108,102.677678377351,132.798464201813,128.026385220221
109,101.587930599628,132.401593226929,115.223746698199
110,100.662912584435,131.829585316472,503.701372028379
111,99.9122012634776,131.090957038326,453.331234825541
112,99.3452429472901,130.198978965768,407.998111342987
113,98.4299741662471,129.712505466209,367.198300208689
114,97.279052489544,129.549202326015,330.47847018782
115,95.9915725293497,129.643332430048,297.430623169038
116,94.6213252138353,129.86755476072,267.687560852134
117,93.2154151749582,130.129932409412,240.918804766921
118,91.815084408668,130.366013812215,216.826924290229
119,90.4542935952423,130.528429233984,195.144231861206
120,89.1608423130325,130.583397110416,175.629808675085
121,87.9574206677191,130.507978586847,158.066827807577
122,86.8623618283258,130.287632765933,142.260145026819
123,85.8902837425462,129.914301162873,128.034130524137
124,85.0527619837779,129.385113536009,115.230717471723
125,84.3599497096548,128.70301556804,503.707645724551
126,83.8214426413369,127.87634720415,453.336881152096
127,83.4467216048646,126.917908791841,408.003193036886
128,82.7575507174767,126.33205756158,367.202873733198
129,81.8540837366795,126.048112357779,330.482586359878
130,80.8246168388483,126.010163004441,297.43432772389
131,79.7167852868581,126.097334209419,267.690894951501
132,78.5724800733053,126.222945741403,240.921805456351
133,77.4285853941284,126.3268368938,216.829624910716
134,76.3156452499271,126.365034523181,195.146662419644
135,75.2588364261417,126.306407402952,175.63199617768
136,74.2788896412522,126.130045171107,158.068796559912
137,73.3927451965011,125.822909114078,142.261916903921
138,72.6141135206949,125.377996915636,128.035725213529
139,71.9540704257395,124.793126250326,115.232152692176
140,71.4224442774527,124.071537456962,503.708937422958
141,71.0285821240575,123.221524452207,453.338043680662
142,70.7817643902903,122.255584030066,408.004239312596
143,70.2512874751907,121.629887366214,367.203815381337
144,69.5263039673587,121.284010097621,330.483433843203
145,68.6855988748675,121.170774987737,297.435090458883
146,67.771432172854,121.175563830691,267.691581412994
147,66.8211151369329,121.216739525783,240.922423271695
148,65.8676815885222,121.238244683254,216.830180944525
149,64.9386281177102,121.199357143741,195.147162850073
150,64.0567657375016,121.071499396574,175.632446565066
151,63.2410323802748,120.83574277925,158.069201908559
152,62.5070664918478,120.480549714542,142.262281717703
153,61.8676981624997,120.000012684284,128.036053545933
154,61.3334769152374,119.392705932748,115.23244819134
155,60.9138582484237,118.662236883465,503.709203372206
156,60.6178791186963,117.816913113418,453.338283034985
157,60.4545423321527,116.868967016706,408.004454731487
158,60.036160995294,116.230819011274,367.204009258338
159,59.4420183674894,115.851046027853,330.483608332504
160,58.7423239849171,115.69010388681,297.435247499254
161,57.9745716582557,115.639574500265,267.691722749328
162,57.1719683052911,115.622691944305,240.922550474396
163,56.3640501410668,115.587265559306,216.830295426956
164,55.575510628136,115.495613450326,195.14726588426
165,54.8269485857707,115.321533326815,175.632539295834
166,54.1355880339349,115.047935744772,158.069285366251
167,53.5157827731761,114.664680474012,142.262356829626
168,52.9794496761998,114.16689026905,128.036121146663
169,52.5365386782668,113.553864959958,115.232509031997
170,52.1960473221501,112.829565350274,503.709258128797
171,51.9666159425896,112.002305102747,453.338332315918
172,51.8568828630747,111.084044313454,408.004499084326
173,51.5187760175008,110.44675276438,367.204049175893
174,51.0226077777561,110.046994557702,330.483644258304
175,50.4307592629983,109.851974673199,297.435279832474
176,49.7764474304425,109.759566101714,267.691751849226
177,49.0891641025908,109.697824339349,240.922576664304
178,48.3952421672138,109.618280139917,216.830318997873
179,47.7167843979071,109.486152009009,195.147287098086
180,47.0723198867395,109.277484025204,175.632558388277
181,46.4774410220897,108.976911106877,158.06930254945
182,45.9452480951802,108.57559556336,142.262372294505
183,45.4867325123162,108.06961894605,128.036135065054
184,45.1111953382016,107.458955438705,115.232521558549
185,44.8271120297662,106.7478781421,503.709269402694
186,44.6426552160643,105.944668005658,453.338342462425
187,44.5660212853286,105.060971314008,408.004508216182
188,44.2859772213817,104.430950294367,367.204057394564
189,43.8646116388626,104.018258144459,330.483651655108
190,43.3570962677783,103.796056390076,297.435286489597
191,42.7927702369898,103.668635408973,267.691757840637
192,42.1977294219242,103.568860735011,240.922582056573
193,41.5953460694379,103.451874713795,216.830323850916
194,41.0053075200771,103.28568273443,195.147291465824
195,40.4441908190467,103.048464196282,175.632562319242
196,39.926024716062,102.726473346362,158.069306087318
197,39.4626817214407,102.312083479169,142.262375478586
198,39.064217528665,101.80226145083,128.036137930727
199,38.7392432096318,101.197598612144,115.232524137655
200,38.4956587513353,100.50263384791,503.709271723889
201,38.3411101032374,99.7255733822798,453.3383445515
202,38.2832874694816,98.8777070848145,408.00451009635
203,38.0455107182011,98.2575576761818,367.204059086715
204,37.6822795131051,97.8350976673871,330.483653178044
205,37.2420843245603,97.5887594522647,297.435287860239
206,36.7507152261271,97.4294015517871,267.691759074215
207,36.2311384284173,97.2947217861234,240.922583166794
208,35.7039709618919,97.1433993134308,216.830324850115
209,35.1866342210205,96.9461410050853,195.147292365103
210,34.6938546907878,96.6831713080286,175.632563128593
211,34.2381572310022,96.3422722677323,158.069306815734
212,33.8302102402449,95.9169430139689,142.26237613416
213,33.4791260342498,95.4049621169805,128.036138520744
214,33.1927906556955,94.807475571874,115.23252466867
215,32.9784819686636,94.1292346754881,503.709272201803
216,32.8432667535005,93.3783224196562,453.338344981623
217,32.7942710472135,92.5656241476018,408.00451048346
218,32.587435977315,91.9558387630476,367.204059435114
219,32.2702205972901,91.5245788855967,330.483653491603
220,31.8848923771317,91.2549382851836,297.435288142443
221,31.453967479659,91.0645151533505,267.691759328198
222,30.9975081850217,90.8958908835446,240.922583395378
223,30.5335533935284,90.7112380513486,216.830325055841
224,30.0773882387438,90.4839043441419,195.147292550257
225,29.6419776131459,90.1960872983671,175.632563295231
226,29.2383959638281,89.8370175038222,158.069306965708
227,28.8761299777042,89.4012411812255,142.262376269137
228,28.5633435349366,88.8872760134004,128.036138642223
229,28.3071682567494,88.296756727127,115.232524778001
230,28.1142196909119,87.6345888588079,503.709272300201
231,27.990939457288,86.9086789443639,453.338345070181
232,27.9438378849853,86.1294555212699,408.004510563163
233,27.7597999616007,85.5293582134184,367.204059506847
234,27.4797290639065,85.0890280144696,330.483653556162
235,27.1400774623734,84.7956661542009,297.435288200546
236,26.7603225931113,84.5737973581422,267.691759380491
237,26.3578185289757,84.3709605414218,240.922583442442
238,25.9481824862951,84.1528031222767,216.830325098198
239,25.5446788374679,83.8952722059361,195.147292588378
240,25.1585911616965,83.5824802696913,175.63256332954
241,24.7995930474549,83.2050358554294,158.069306996586
242,24.4760117490549,82.7584570133844,142.262376296928
243,24.19506045906,82.2419265328764,128.036138667235
244,23.9630920854831,81.6574965838944,115.232524800511
245,23.7860253732519,81.0101620975202,103.70927232046
246,23.66963653858,80.3075934129396,93.3383450884142
247,23.6197744277281,79.5597041731247,84.0045105795728
248,23.452751128607,78.9680797209364,75.6040595216155
249,23.203356413558,78.5178230643053,68.043653569454
250,22.9026022511377,78.1997259209171,61.2392882125086
251,22.5671345684196,77.9454362021248,55.1153593912577
