"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
267,0.0388436656013952,0.122155464046784,0.506668606181572,0.754670899034576,4.46364000241332,0,0,0.322696318685682,2.3443015615977,5.08671859269847,35.2683628237798,0,0,0,0,8.2142693659286,61.4814855897298,0
268,0.0358673919143181,0.116511112102872,0.478684056296736,0.755950576642871,4.41284993862882,0,0,0.309283338319888,2.23269362944628,5.13205567965254,35.2198475083465,0,0,0,0,8.35764607766822,62.0636340446565,0
269,0.0331115235762514,0.111144132101628,0.452251392242725,0.758399026700481,4.36831157656356,0,0,0.296363406853011,2.12539647125441,5.18240904821022,35.1796860160593,0,0,0,0,8.50651323780043,62.6233032109948,0
270,0.0305607660350273,0.106048536969012,0.427309208506279,0.762107535784,4.33034463032727,0,0,0.283932091922785,2.02230930362816,5.23824595796341,35.1494689783061,0,0,0,0,8.66114395654008,63.1587686919071,0
271,0.0282007435543035,0.101216881387594,0.403793315729154,0.767144537300598,4.29913423443435,0,0,0.271983956515686,1.9233405721464,5.29993579002133,35.1305397550727,0,0,0,0,8.82172940676674,63.6688578875677,0
272,0.0260179676052471,0.0966406333239681,0.381638024401291,0.773560026883518,4.27475601674468,0,0,0.260512498041188,1.82840400921099,5.36776335581197,35.1240105837181,0,0,0,0,8.9883887978969,64.1528985396662,0
273,0.0239939208242252,0.092129305195556,0.360296758984122,0.776013639651217,4.23384594481179,0,0,0.249365358764134,1.73812838549877,5.41812552634086,35.0797998676726,0,0,0,0,9.14095176664671,64.6938598937679,0
274,0.022118615430238,0.0877200089814058,0.339834302471129,0.775638072238216,4.18142465764401,0,0,0.238568467298622,1.65224448536963,5.45593372963308,35.0098851010934,0,0,0,0,9.28309811070749,65.2743422626767,0
275,0.0203824756708196,0.0834417793140122,0.320294016550857,0.773404490084004,4.12173695027736,0,0,0.228141813190393,1.57051347440985,5.48543398000132,34.9245914132471,0,0,0,0,9.41805044305824,65.8797718792551,0
276,0.0187761873822518,0.0793090750633942,0.301685307521419,0.769948960334576,4.05761309266091,0,0,0.218078203441789,1.49259066285207,5.50927821647368,34.8263850237805,0,0,0,0,9.54882742519109,66.5000810928003,0
