"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
255,0.237914041283021,0.0406061952731648,2.60006359504269,0.00978686118722267,0.841573390986818,0,0,0.121737141352899,10.9334118323778,0.0650135807056011,5.65230518580713,0,0,0,0,0.0991302563632737,8.30847028858922,0
256,0.224678298665272,0.0402150375937469,2.51633976271765,0.0102713329672175,0.85669122726992,0,0,0.119940065580149,10.6171229993037,0.0680254434160774,5.76541125586282,0,0,0,0,0.103944008047444,8.52636819315665,0
257,0.212259327252845,0.0398997279973436,2.43740500586388,0.0108146478171267,0.874127790535553,0,0,0.118235030728343,10.3056961478164,0.0713185342692774,5.8845583285414,0,0,0,0,0.109097143132092,8.74504767167888,0
258,0.200335468319298,0.0394402099031083,2.35572091199573,0.0112738526862,0.886218750485632,0,0,0.116461346010532,10.0073678935637,0.0743548654957869,5.99657186024995,0,0,0,0,0.114176192756869,8.98301890201706,0
259,0.188933050170664,0.0388816359198022,2.27282408045582,0.0116758135479232,0.894416833059321,0,0,0.11465369260917,9.72095934312754,0.0772346430447005,6.10416616602025,0,0,0,0,0.119248777898966,9.23666700041764,0
260,0.178069258865792,0.0382631191463525,2.1899930172975,0.0120450153861986,0.899990519639046,0,0,0.112844046933142,9.44554238025071,0.0800505902173298,6.20976071515511,0,0,0,0,0.124379637592432,9.50286884851379,0
261,0.167742737248715,0.0376065171462507,2.10799338122002,0.0123983115272484,0.903824922924964,0,0,0.111029932570838,9.17832002126188,0.0828672770175927,6.31407329977534,0,0,0,0,0.129652178536838,9.78027445558787,0
262,0.157947577298403,0.0369304619470773,2.02745347356365,0.0127509252933055,0.906694563163844,0,0,0.109214640618827,8.91733512644879,0.0857475943534883,6.41799909200395,0,0,0,0,0.135144755073011,10.0675261146634,0
263,0.148674289530146,0.036250957247194,1.94888445065831,0.0131168271625528,0.909278989530407,0,0,0.107405872996425,8.66129710487648,0.08875316257091,6.52255671992234,0,0,0,0,0.140931943506373,10.3632890563059,0
264,0.139910147726509,0.0355813572169659,1.87268425888147,0.0135086537183459,0.912158736742596,0,0,0.105613198935243,8.40935484034125,0.0919434200982378,6.62875351520629,0,0,0,0,0.147087255226274,10.6663577246368,0
265,0.131639949530126,0.0349328045072094,1.79915486765291,0.0139380216337081,0.915830238508125,0,0,0.103847432550287,8.16100204384665,0.0953762925964256,6.7375802106715,0,0,0,0,0.1536836601512,10.9756413128537,0
266,0.12384660383898,0.0343145809088631,1.72851629614547,0.0144157962164961,0.920717876408022,0,0,0.102120050375229,7.9159927402515,0.0991086646827392,6.84999615640966,0,0,0,0,0.160793752520891,11.2901370773743,0
267,0.116511506965442,0.0337343179853341,1.6609160317514,0.0149522599995356,0.927180930949764,0,0,0.100442478647659,7.67425660003554,0.103196404768903,6.96689170270599,0,0,0,0,0.168489413703126,11.6088807437466,0
268,0.109615122984052,0.0331983120100692,1.59644258841343,0.0155573495116844,0.935523920844211,0,0,0.0988259344043621,7.43585770616713,0.107694989467545,7.08909163409446,0,0,0,0,0.17684239834717,11.9309657837717,0
269,0.103137425486025,0.0327117777100448,1.53513651202889,0.0162408641598292,0.946005045773029,0,0,0.0972812789777599,7.20095870214822,0.112660027030919,7.21735530694932,0,0,0,0,0.185924682415991,12.2555539052762,0
270,0.0970582323740204,0.0322790451503467,1.47699924350948,0.017012638482014,0.958842639879029,0,0,0.0958188696933786,6.96978970453494,0.118147617699424,7.35237206865107,0,0,0,0,0.195808503952604,12.5818754395384,0
271,0.0913574622006268,0.0319037233671443,1.42200052949121,0.0178827003539065,0.974220606906619,0,0,0.0944484479944157,6.74262286334172,0.124214692432647,7.49475812879815,0,0,0,0,0.206566347695669,12.909230509657,0
272,0.0860153307608533,0.031588837313894,1.37008467727675,0.0188614167691029,0.992293007513295,0,0,0.0931790605889853,6.51975190461678,0.130919327990624,7.64505483190286,0,0,0,0,0.218270879003738,13.2369902323169,0
273,0.0809070690155628,0.0311543132850346,1.31726034700082,0.0196766996217596,1.00392459120562,0,0,0.0917628291957697,6.30574262618302,0.13688029364239,7.78352518623866,0,0,0,0,0.229256250536501,13.5908587018144,0
274,0.0760398987613825,0.0306370405909432,1.26432169011815,0.0203787983046152,1.01083864239437,0,0,0.0902505046800732,6.09996245967713,0.142346583718395,7.91421600178604,0,0,0,0,0.239798654547274,13.9658004620035,0
275,0.0714175567839022,0.0300688157020097,1.21192188563754,0.0210133962218021,1.0145357917816,0,0,0.0886869269913192,5.90190962774289,0.147545795763277,8.04070900204285,0,0,0,0,0.250151828666065,14.3574532999467,0
276,0.0670370734968733,0.0294676789759633,1.16044939205605,0.0216114030920501,1.01604703710993,0,0,0.0870869975046517,5.70994879356588,0.152643767892886,8.16394432761222,0,0,0,0,0.260584412762505,14.7637066597712,0
277,0.0628937937419495,0.0288488805634671,1.11021641220784,0.0222006015620139,1.01627202662831,0,0,0.0854666751325057,5.52293999295945,0.157796484683483,8.28513115189802,0,0,0,0,0.271344881850073,15.1824868919023,0
278,0.0589817601351686,0.0282253893622297,1.06147048855757,0.0228063647526886,1.01599785645369,0,0,0.0838424710259132,5.34013321711638,0.163151910533184,8.40566492557667,0,0,0,0,0.282665189979486,15.6117889152315,0
279,0.0552938768369416,0.0276079137519244,1.01439809348572,0.023451403747338,1.01589263042279,0,0,0.0822299592947422,5.16103424843042,0.168848479470662,8.52691099796693,0,0,0,0,0.294766224789443,16.0497905448367,0
280,0.0518222053563245,0.0270052718728,0.969134275863451,0.0241563618411489,1.01652368567495,0,0,0.080643664668083,4.98534756457817,0.175017114681262,8.6502015864375,0,0,0,0,0.307859918079181,16.4948354589281,0
281,0.0485581988407297,0.0264246968841481,0.925770712027256,0.0249403331927597,1.01837273333066,0,0,0.0790969543904396,4.81292690194534,0.181782859272118,8.7768226755254,0,0,0,0,0.322150556067713,16.9454034075592,0
282,0.0454928682167109,0.0258720456046468,0.88436170080801,0.0258212102807541,1.02184563113648,0,0,0.0776018315464083,4.64372855301742,0.189265680857387,8.90797538099761,0,0,0,0,0.337835101917589,17.4000570254003,0
283,0.0426169855982891,0.025352045387824,0.844931181420869,0.0268160959025714,1.02728407255991,0,0,0.076169001264539,4.47778462929636,0.197581928020603,9.04477463745163,0,0,0,0,0.35510454931434,17.8574603773998,0
284,0.0399212414256483,0.0248684962960427,0.807478528778246,0.0279416672469198,1.034975312799,0,0,0.0748079287003021,4.31518066207265,0.206845563506516,9.18824614722734,0,0,0,0,0.374144731087715,18.3163889604245,0
285,0.0373963674387395,0.0244244356585126,0.771983388054652,0.0292144864445794,1.04516005305951,0,0,0.0735268908228868,4.15603733444293,0.217169131708177,9.33932153972899,0,0,0,0,0.395136581688172,18.7757330726057,0
286,0.0350332294558311,0.0240222733981321,0.738409687438189,0.0306512778078566,1.05803901968676,0,0,0.0723330283172623,4.00049554983869,0.228664594746841,9.49883468478734,0,0,0,0,0.418256142691256,19.2345003510531,0
287,0.0328228972637794,0.0236639039196519,0.706708997428751,0.0322691750950666,1.07377846176667,0,0,0.0712324000454072,3.84870448903266,0.241444044089813,9.66751938953504,0,0,0,0,0.443674356147035,19.6918170417473,0
288,0.0307236635985243,0.0232207762782849,0.675062890284476,0.0335866242811513,1.08240057896783,0,0,0.0699697535516292,3.70289783813782,0.252422436894177,9.81872062735708,0,0,0,0,0.466535314842646,20.1811249755288,0
289,0.0287356346948444,0.0227196263679353,0.643816716154995,0.0346918582723571,1.08580039231484,0,0,0.0685972485671221,3.56275249231548,0.262146987555288,9.95795940715187,0,0,0,0,0.487645510883896,20.695798290884,0
290,0.0268578381287733,0.0221832842640097,0.613248751640321,0.0356645009942338,1.08562108571439,0,0,0.0671599870622426,3.42800561186034,0.271111925502505,10.0900964312513,0,0,0,0,0.50773215386703,21.2301096095218,0
291,0.0250873415526507,0.0216249703783706,0.583519692701554,0.0365575962504844,1.08297855796553,0,0,0.0656799035219333,3.29780334469557,0.279683105144447,10.216259250298,0,0,0,0,0.527501443312472,21.7808642122916,0
292,0.0234207357002395,0.0210557245509914,0.5547533868833,0.0374182904481606,1.07884054130002,0,0,0.0641771573369161,3.17154714015857,0.288195425128688,10.3379542055635,0,0,0,0,0.54759606757422,22.3450378236571,0
293,0.0218542633282834,0.0204847936820452,0.527042729197233,0.0382891004193288,1.07404811071676,0,0,0.0626701740053933,3.04883708717587,0.296957905538986,10.456947971741,0,0,0,0,0.56860463981417,22.919794657665,0
294,0.0203838848697136,0.0199196922859181,0.500452179266976,0.0392073589944593,1.0693080258297,0,0,0.061174977588374,2.92940277100939,0.306251348448446,10.5749523926406,0,0,0,0,0.591072519125593,23.5025817116636,0
295,0.0190053758749772,0.0193664845173303,0.475022530240186,0.040206261424096,1.06521362781178,0,0,0.0597053856993941,2.81307289714461,0.316333157712097,10.6936253882573,0,0,0,0,0.615507842425304,24.091105654089,0
296,0.0177144048792491,0.0188300210039499,0.45077494594421,0.0413157834433062,1.06226253053032,0,0,0.0582731830537297,2.69974975639855,0.327441388703382,10.8145615679394,0,0,0,0,0.642385798199329,24.6832980266295,0
297,0.0165066004791945,0.0183141363735322,0.427714502168521,0.0425633980982009,1.06087052159109,0,0,0.0568882909212357,2.58938890743373,0.339797988904647,10.9392737517796,0,0,0,0,0.672152428506916,25.2773074434593,0
298,0.0153776053451761,0.0178218165350835,0.405833212697094,0.043974714588551,1.06138360010815,0,0,0.0555589301707753,2.48198292699394,0.35361164399731,11.0691786528612,0,0,0,0,0.705227340663168,25.8714914784321,0
299,0.0143231194628164,0.0173553403966725,0.38511261728808,0.0455740443330808,1.06408833964425,0,0,0.0542917772306112,2.37754859468214,0.369080229866077,11.205585792296,0,0,0,0,0.742005384490529,26.4644072391386,0
300,0.0133389355674022,0.0169164016584085,0.365526034324458,0.0473848967347486,1.06922080809918,0,0,0.0530921194560018,2.27611726541682,0.386392904853995,11.3496906728976,0,0,0,0,0.78285754918095,27.0548072656123,0
301,0.0124209652854047,0.0165062094278451,0.347040431947253,0.0494304079181244,1.07697404551791,0,0,0.051963994904309,2.17772720097925,0.405731851410137,11.5025695407962,0,0,0,0,0.828131202900617,27.641633752897,0
302,0.0115652581867067,0.016125571810425,0.329617991712997,0.0517337096546649,1.08750434678653,0,0,0.0509103205045141,2.08241762621525,0.427273701996221,11.6651761167526,0,0,0,0,0.878149830286917,28.2240111997059,0
303,0.0107680155919803,0.0157749665488843,0.313217431909068,0.0543182480284154,1.1009366233591,0,0,0.0499330142554965,1.99022435748915,0.451190715802224,11.838341348416,0,0,0,0,0.933212508718675,28.8012400807098,0
304,0.0100255999203081,0.0154546002212959,0.297795116519537,0.0572080536741499,1.11736895746425,0,0,0.0490331096514443,1.9011766573174,0.477651712882234,12.0227755755202,0,0,0,0,0.993593236114948,29.3727901782525,0
305,0.009334540337336,0.015164457519957,0.283305976282345,0.0604279654293376,1.13687646117556,0,0,0.0482108616922529,1.8152950581424,0.50682277467806,12.2190726346139,0,0,0,0,1.05954021359548,29.9382927239982,0
306,0.00869100489261835,0.0148967528765908,0.269656972912922,0.063936097262199,1.15881061665373,0,0,0.0474476127486088,1.73235366806449,0.538588658277122,12.4241871633615,0,0,0,0,1.13134365378597,30.4987267400944,0
307,0.00809149747058758,0.0146451677079639,0.256768545685479,0.0676975050022195,1.18265145753046,0,0,0.0467286211084656,1.65220223269883,0.572852495850795,12.6359241063549,0,0,0,0,1.20924806409338,31.0549153700878,0
308,0.00753282885780679,0.0144047455936887,0.244573017770181,0.0716845887016697,1.20799311824168,0,0,0.0460424890139042,1.57474592820599,0.609536658225448,12.8527641962856,0,0,0,0,1.29345251999365,31.6075642671476,0
309,0.0070120713873557,0.0141714876936186,0.233011357504369,0.0758719058281888,1.23447539207078,0,0,0.0453799491016516,1.49992146847326,0.648560430467655,13.0734549168117,0,0,0,0,1.38411376057704,32.1573187267593,0
310,0.00652653753228518,0.0139422588135831,0.222032204278946,0.0802370778744032,1.2617871045958,0,0,0.0447335725109968,1.42768718035022,0.689844297982771,13.2969894230288,0,0,0,0,1.48134680701983,32.704780710228,0
311,0.00607375922768034,0.0137146934630893,0.211590977602944,0.0847615179272799,1.28966789660343,0,0,0.0440975205424676,1.35801527972857,0.733313994077876,13.5225863004389,0,0,0,0,1.5852259529863,33.2505178885967,0
312,0.00565146764396296,0.0134870887173381,0.20164898303049,0.0894305784475015,1.31790459399402,0,0,0.0434673000245423,1.29088564612293,0.778902318394002,13.7496508937038,0,0,0,0,1.69578607210822,33.7950643607525,0
313,0.00525757445695395,0.0132583040465158,0.192172606590404,0.0942336499466908,1.34632782066045,0,0,0.0428395535638101,1.22628117634098,0.826551030219625,13.9777462879621,0,0,0,0,1.81302462192976,34.3389196374079,0
314,0.00489015478689211,0.0130276698039266,0.18313260026183,0.0991642142966505,1.3748087953244,0,0,0.042211880733711,1.16418445098186,0.87621270288905,14.206571977286,0,0,0,0,1.93690423149598,34.8825472275787,0
315,0.00454743158143917,0.0127949033618699,0.17450344066877,0.104219823440596,1.40325592484769,0,0,0.0415826818041007,1.10457537637351,0.927852279864436,14.4359463335394,0,0,0,0,2.06735572234026,35.4263714437091,0
316,0.00422776146146844,0.0125600334472463,0.166262758776118,0.109402016405023,1.43161128341347,0,0,0.0409510209570003,1.04742960790724,0.981448294674192,14.6657920177493,0,0,0,0,2.20428146153169,35.970773323817,0
317,0.00392962201640079,0.012323333054658,0.158390838964768,0.114716188663255,1.45984708250159,0,0,0.0403165072152253,0.992717599895666,1.03699375126348,14.8961238105976,0,0,0,0,2.3475589791338,36.5160868848386,0
318,0.00365160061216237,0.0120852621578105,0.150870194102353,0.120171447037438,1.48796242977751,0,0,0.0396791958497621,0.940404202880738,1.0944968835755,15.127040551888,0,0,0,0,2.4970453091056,37.0626020408183,0
319,0.0033923844316232,0.0118464185991973,0.143685199761597,0.12578044639173,1.51598027138313,0,0,0.0390395041851618,0.890448622969505,1.15398168946094,15.3587190783893,0,0,0,0,2.65258171962716,37.6105706972523,0
320,0.00315075157665668,0.011607496070602,0.13682177757572,0.131559208045291,1.54394447157571,0,0,0.0383981381943948,0.842804622373093,1.21548818069634,15.5914088332377,0,0,0,0,2.81399855975024,38.1602139020366,0
321,0.00292556312778749,0.0113692485611328,0.130267122598703,0.137526926022452,1.57191705375401,0,0,0.0377560283821727,0.797420886355281,1.27907236603553,15.8254267120287,0,0,0,0,2.98112010125566,38.711729671282,0
