"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
95,225.584414864279,0,0,0,0,0,71.8447056605237,0,0,0,0,0,0,0,0,0,0,0
96,221.361773710633,0,0,0,0,0,76.0812695038983,0,0,0,0,0,0.0472766855870668,0,0,0,0,0
97,217.080782452703,0,0,0,0,0,80.2998642452842,0,0,0,0,0,0.168904723937423,0,0,0,0,0
98,212.828611517565,0,0,0,0,0,84.4011761523666,0,0,0,0,0,0.377073626978903,0,0,0,0,0
99,208.675405873594,0,0,0,0,0,88.3135786421133,0,0,0,0,0,0.673308380177045,0,0,0,0,0
100,204.677109974089,0,0,0,0,0,91.9869912762188,0,0,0,0,0,1.05178496411513,0,0,0,0,0
101,200.877825624523,0,0,0,0,0,95.3879483054541,0,0,0,0,0,1.50190289705189,0,0,0,0,0
102,197.3117785192,0,0,0,0,0,98.4956650443721,0,0,0,0,0,2.01025193155037,0,0,0,0,0
103,194.004958168626,0,0,0,0,0,101.298923546777,0,0,0,0,0,2.56208846641791,0,0,0,0,0
104,190.976485118614,0,0,0,0,0,103.793626470938,0,0,0,0,0,3.14241845380635,0,0,0,0,0
105,188.2397504053,0,0,0,0,0,105.980892224058,0,0,0,0,0,3.73676751200237,0,0,0,0,0
106,185.803364670673,0,0,0,0,0,107.865585530681,0,0,0,0,0,4.33170515726296,0,0,0,0,0
107,183.671948015887,0,0,0,0,0,109.455195708144,0,0,0,0,0,4.91517822720076,0,0,0,0,0
108,180.972662187767,0,0,0,0,0,111.485568595792,0,0,0,0,0,5.62424441125883,0,0,0,0,0
109,177.895319032022,0,0,0,0,0,113.810019777266,0,0,0,0,0,6.4158428073989,0,0,0,0,0
110,174.599978395178,0,0,0,0,0,116.30580350724,0,0,0,0,0,7.25272375934798,0,0,0,0,0
111,171.194258536272,0,0,0,0,0,118.860566603788,0,0,0,0,0,8.139683295044,0,0,0,0,0
112,167.766942307332,0,0,0,0,0,121.389240699198,0,0,0,0,0,9.07306437783035,0,0,0,0,0
113,164.390861643527,0,0,0,0,0,123.828444394989,0,0,0,0,0,10.0434703477913,0,0,0,0,0
114,161.123054518862,0,0,0,0,0,126.131690598359,0,0,0,0,0,11.0404008729575,0,0,0,0,0
115,158.00732390128,0,0,0,0,0,128.266361366505,0,0,0,0,0,12.0527184240718,0,0,0,0,0
116,155.076452357575,0,0,0,0,0,130.21106287135,0,0,0,0,0,13.0690789396816,0,0,0,0,0
117,152.354111416892,0,0,0,0,0,131.95333961735,0,0,0,0,0,14.0783084229775,0,0,0,0,0
118,149.85650103053,0,0,0,0,0,133.487722290106,0,0,0,0,0,15.0697156527417,0,0,0,0,0
119,147.59375105133,0,0,0,0,0,134.814080519081,0,0,0,0,0,16.0333377459669,0,0,0,0,0
120,145.571113548582,0,0,0,0,0,135.936250198481,0,0,0,0,0,16.9601201894279,0,0,0,0,0
121,143.789971947287,0,0,0,0,0,136.860904616861,0,0,0,0,0,17.8420363784284,0,0,0,0,0
122,142.248690280318,0,0,0,0,0,137.596639137315,0,0,0,0,0,18.6721538511159,0,0,0,0,0
123,140.260637699488,0,0,0,0,0,138.619102126573,0,0,0,0,0,19.6614794526484,0,0,0,0,0
124,137.971379469294,0,0,0,0,0,139.834821923782,0,0,0,0,0,20.7579423374998,0,0,0,0,0
125,135.503471115474,0,0,0,0,0,141.166417931607,0,0,0,0,0,21.9163898262285,0,0,0,0,0
126,132.939559855967,0,0,0,0,0,142.536562713308,0,0,0,0,0,23.1315247332978,0,0,0,0,0
127,130.347891293659,0,0,0,0,0,143.888425514444,0,0,0,0,0,24.391955258476,0,0,0,0,0
128,127.784587219782,0,0,0,0,0,145.181246637348,0,0,0,0,0,25.6823426564894,0,0,0,0,0
129,125.294171194719,0,0,0,0,0,146.386199805184,0,0,0,0,0,26.9870130837467,0,0,0,0,0
130,122.911464620234,0,0,0,0,0,147.483992722507,0,0,0,0,0,28.2904607759638,0,0,0,0,0
131,120.663219441542,0,0,0,0,0,148.462824426996,0,0,0,0,0,29.5777578456781,0,0,0,0,0
132,118.569399584333,0,0,0,0,0,149.31664871304,0,0,0,0,0,30.8350093162924,0,0,0,0,0
133,116.644288395474,0,0,0,0,0,150.043764041926,0,0,0,0,0,32.0496557037307,0,0,0,0,0
134,114.897444543372,0,0,0,0,0,150.645676085144,0,0,0,0,0,33.2106545337567,0,0,0,0,0
135,113.334525918074,0,0,0,0,0,151.126187301791,0,0,0,0,0,34.3085668446056,0,0,0,0,0
136,111.957998544854,0,0,0,0,0,151.490674828408,0,0,0,0,0,35.3355703620577,0,0,0,0,0
137,110.767745328946,0,0,0,0,0,151.74552376866,0,0,0,0,0,36.2854174146123,0,0,0,0,0
138,109.229843195285,0,0,0,0,0,152.168531866258,0,0,0,0,0,37.414253022825,0,0,0,0,0
139,107.457895390633,0,0,0,0,0,152.706911717725,0,0,0,0,0,38.6612802510464,0,0,0,0,0
140,105.547489432588,0,0,0,0,0,153.317089816514,0,0,0,0,0,39.9745030807707,0,0,0,0,0
141,103.563049301878,0,0,0,0,0,153.947244375734,0,0,0,0,0,41.3413363046442,0,0,0,0,0
142,101.557662407131,0,0,0,0,0,154.560575621763,0,0,0,0,0,42.7455082540114,0,0,0,0,0
143,99.5748603253474,0,0,0,0,0,155.131946234938,0,0,0,0,0,44.1686396921472,0,0,0,0,0
144,97.6490826627574,0,0,0,0,0,155.644427093686,0,0,0,0,0,45.5932343478712,0,0,0,0,0
145,95.807164524479,0,0,0,0,0,156.087588632445,0,0,0,0,0,47.0029002183636,0,0,0,0,0
146,94.0696218766187,0,0,0,0,0,156.456044019081,0,0,0,0,0,48.3825211329615,0,0,0,0,0
147,92.4516852697958,0,0,0,0,0,156.748191200373,0,0,0,0,0,49.7184810607224,0,0,0,0,0
148,90.9641924577953,0,0,0,0,0,156.965191956511,0,0,0,0,0,50.9987924928056,0,0,0,0,0
149,89.6143577605296,0,0,0,0,0,157.110151366546,0,0,0,0,0,52.2131476547924,0,0,0,0,0
150,88.4064276917337,0,0,0,0,0,157.187464450673,0,0,0,0,0,53.3529162680621,0,0,0,0,0
151,87.3422382836719,0,0,0,0,0,157.202304446026,0,0,0,0,0,54.4110999756729,0,0,0,0,0
152,86.4216876050931,0,0,0,0,0,157.160229622327,0,0,0,0,0,55.3822530333696,0,0,0,0,0
153,85.2286272398937,0,0,0,0,0,157.195878389158,0,0,0,0,0,56.5478957487176,0,0,0,0,0
154,83.8517793381652,0,0,0,0,0,157.286105721112,0,0,0,0,0,57.842461030309,0,0,0,0,0
155,82.3658296173659,0,0,0,0,0,157.412217094255,0,0,0,0,0,59.2099674726575,0,0,0,0,0
156,80.8211960877296,0,0,0,0,0,157.54187201064,0,0,0,0,0,60.6323471205642,0,0,0,0,0
157,79.2594573180531,0,0,0,0,0,157.653612813404,0,0,0,0,0,62.0894883901106,0,0,0,0,0
