"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.95924885854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.44126017016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,272.840092529886,0,0,0,0,0,0,0,1.3709139684673,0,0,0,0,0,0,0,0,0
21,271.260029070689,0,0,0,0,0,0,0,3.73443270126512,0,0,0,0,0,0,0,0,0
22,269.02037485525,0,0,0,0,0,0,0,6.78182677366063,0,0,0,0,0,0,0,0,0
23,266.359156557303,0,0,0,0,0,0,0,10.2629520364548,0,0,0,0,0,0,0,0,0
24,263.467575719535,0,0,0,0,0,0,0,13.9769793609731,0,0,0,0,0,0,0,0,0
25,260.497478708393,0,0,0,0,0,0,0,17.7645437489189,0,0,0,0,0,0,0,0,0
26,257.567825792289,0,0,0,0,0,0,0,21.5011039126291,0,0,0,0,0,0,0,0,0
27,254.770249025586,0,0,0,0,0,0,0,25.0913056068626,0,0,0,0,0,0,0,0,0
28,252.171708478998,0,0,0,0,0,0,0,28.4636362308679,0,0,0,0,0,0,0,0,0
29,248.971131151,0,0,0,0,0,0,0,32.416833054689,0,0,0,0,0,0,0,0,0
30,245.40229593985,0,0,0,0,0,0,0,36.7167987078628,0,0,0,0,0,0,0,0,0
31,241.65740577485,0,0,0,0,0,0,0,41.1728609576905,0,0,0,0,0,0,0,0,0
32,237.888441452952,0,0,0,0,0,0,0,45.6291165835284,0,0,0,0,0,0,0,0,0
33,234.213190463661,0,0,0,0,0,0,0,49.9600568907294,0,0,0,0,0,0,0,0,0
34,230.720612082165,0,0,0,0,0,0,0,54.0667642840605,0,0,0,0,0,0,0,0,0
35,227.475276645127,0,0,0,0,0,0,0,57.8734181431981,0,0,0,0,0,0,0,0,0
36,224.521136082161,0,0,0,0,0,0,0,61.3240998769247,0,0,0,0,0,0,0,0,0
37,221.884770142921,0,0,0,0,0,0,0,64.37988963981,0,0,0,0,0,0,0,0,0
38,219.543083091477,0,0.0258576303449477,0,0,0,0,0,67.0293256211805,0,0,0,0,0,0,0,0,0
39,216.731807473321,0,0.0805555134092009,0,0,0,0,0,69.9473041691976,0,0,0,0,0,0,0,0,0
40,213.583948298766,0,0.176379081702623,0,0,0,0,0,72.9554013437767,0,0,0,0,0,0,0,0,0
41,210.213203592466,0,0.323012639919493,0,0,0,0,0,75.9222659306199,0,0,0,0,0,0,0,0,0
42,206.716827229709,0,0.527590336863223,0,0,0,0,0,78.7534037375461,0,0,0,0,0,0,0,0,0
43,203.176495543052,0,0.794839247626825,0,0,0,0,0,81.382075138849,0,0,0,0,0,0,0,0,0
44,199.661146517759,0,1.12730025327078,0,0,0,0,0,83.7632364681775,0,0,0,0,0,0,0,0,0
45,196.229081733124,0,1.52558177232812,0,0,0,0,0,85.8686714641418,0,0,0,0,0,0,0,0,0
46,192.929347686107,0,1.98860302536264,0,0,0,0,0,87.6829429548211,0,0,0,0,0,0,0,0,0
47,189.743381337233,0,2.52347598431108,0,0,0,0,0,89.1819157220811,0,0,0,0,0,0,0,0,0
48,186.658884211425,0,3.13430928659062,0,0,0,0,0,90.3599365462442,0,0,0,0,0,0,0,0,0
49,183.200153754134,0,3.74579269381398,0,0,0,0,0,91.6967140726589,0,0,0,0,0,0,0,0,0
50,179.48952983226,0,4.36960180928464,0,0,0,0,0,93.0875402121853,0,0,0,0,0,0,0,0,0
51,175.632364396817,0,5.01482716775464,0,0,0,0,0,94.4556722422035,0,0,0,0,0,0,0,0,0
52,171.719142633434,0,5.68826552758053,0,0,0,0,0,95.7462431759819,0,0,0,0,0,0,0,0,0
53,167.825933121532,0,6.39456569041844,0,0,0,0,0,96.9202296887894,0,0,0,0,0,0,0,0,0
54,164.016873417784,0,7.13651966354995,0,0,0,0,0,97.9511551692596,0,0,0,0,0,0,0,0,0
55,160.345955667636,0,7.91531123211721,0,0,0,0,0,98.8223122993231,0,0,0,0,0,0,0,0,0
56,156.856666085275,0,8.73162818737216,0,0,0,0,0,99.5237414437985,0,0,0,0,0,0,0,0,0
57,153.537956616864,0,9.58747939613017,0,0,0,0,0,100.028484381742,0,0,0,0,0,0,0,0,0
58,150.37878664979,0,10.4838142877636,0,0,0,0,0,100.32423653026,0,0,0,0,0,0,0,0,0
59,147.022963415719,0,11.3157950637539,0,0,0,0,0,100.780059041497,0,0,0,0,0,0,0,0,0
60,143.553338135194,0,12.1042583051177,0,0,0,0,0,101.308733810287,0,0,0,0,0,0,0,0,0
61,140.039044301848,0,12.8670269773087,0,0,0,0,0,101.845834700825,0,0,0,0,0,0,0,0,0
62,136.537446506327,0,13.6192691185681,0,0,0,0,0,102.345195364247,0,0,0,0,0,0,0,0,0
63,133.094837522011,0,14.3736041765117,0,0,0,0,0,102.774040198371,0,0,0,0,0,0,0,0,0
64,129.748793296561,0,15.1405067755431,0,0,0,0,0,103.110622927161,0,0,0,0,0,0,0,0,0
65,126.527211515178,0,15.9280892489139,0,0,0,0,0,103.339265095836,0,0,0,0,0,0,0,0,0
66,123.450051014943,0,16.7425206438765,0,0,0,0,0,103.449742164772,0,0,0,0,0,0,0,0,0
67,120.50434252488,0,17.5843690602268,0,0,0,0,0,103.417338342994,0,0,0,0,0,0,0,0,0
68,117.677943911355,0,18.4535247996308,0,0,0,0,0,103.230207844053,0,0,0,0,0,0,0,0,0
69,114.729572152365,0,19.2303135155802,0,0,0,0,0,103.159800720002,0,0,0,0,0,0,0,0,0
70,111.713808997922,0,19.9400994263046,0,0,0,0,0,103.140998304345,0,0,0,0,0,0,0,0,0
71,108.676489321665,0,20.6046521453122,0,0,0,0,0,103.126967596004,0,0,0,0,0,0,0,0,0
72,105.656036290616,0,21.2426084319387,0,0,0,0,0,103.085478319959,0,0,0,0,0,0,0,0,0
73,102.683837568942,0,21.8696057819511,0,0,0,0,0,102.994773199071,0,0,0,0,0,0,0,0,0
74,99.7858532659438,0,22.4988335586923,0,0,0,0,0,102.84173258014,0,0,0,0,0,0,0,0,0
75,96.9819330444492,0,23.1405769965293,0,0,0,0,0,102.617459515161,0,0,0,0,0,0,0,0,0
76,94.2868440956747,0,23.802679082797,0,0,0,0,0,102.316694920177,0,0,0,0,0,0,0,0,0
77,91.6938682795153,0,24.4840118217857,0,0,0,0,0,101.917876639773,0,0,0,0,0,0,0,0,0
78,89.196794257366,0,25.1831657683777,0,0,0,0,0,101.410038859504,0,0,0,0,0,0,0,0,0
79,86.6417342806938,0,25.7777255234064,0,0,0,0,0,100.993531448864,0,0,0,0,0,0,0,0,0
