"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.95924885854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.44126017016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,272.840092529886,0,0,0,0,0,0,0,1.3709139684673,0,0,0,0,0,0,0,0,0
21,271.260029070689,0,0,0,0,0,0,0,3.73443270126512,0,0,0,0,0,0,0,0,0
22,269.02037485525,0,0,0,0,0,0,0,6.78182677366063,0,0,0,0,0,0,0,0,0
23,266.359156557303,0,0,0,0,0,0,0,10.2629520364548,0,0,0,0,0,0,0,0,0
24,263.467575719535,0,0,0,0,0,0,0,13.9769793609731,0,0,0,0,0,0,0,0,0
25,260.497478708393,0,0,0,0,0,0,0,17.7645437489189,0,0,0,0,0,0,0,0,0
26,257.567825792289,0,0,0,0,0,0,0,21.5011039126291,0,0,0,0,0,0,0,0,0
27,254.770249025586,0,0,0,0,0,0,0,25.0913056068626,0,0,0,0,0,0,0,0,0
28,252.171708478998,0,0,0,0,0,0,0,28.4636362308679,0,0,0,0,0,0,0,0,0
29,248.971131151,0,0,0,0,0,0,0,32.416833054689,0,0,0,0,0,0,0,0,0
30,245.40229593985,0,0,0,0,0,0,0,36.7167987078628,0,0,0,0,0,0,0,0,0
31,241.65740577485,0,0,0,0,0,0,0,41.1728609576905,0,0,0,0,0,0,0,0,0
32,237.887586270381,0,0,0,0,0,0,0,45.6287571177303,0,0,0,0,0,0,0,0,0
33,234.20929092408,0,0,0,0,0,0,0,49.9583493996331,0,0,0,0,0,0,0,0,0
34,230.709608290624,0,0,0,0,0,0,0,54.0618044654535,0,0,0,0,0,0,0,0,0
35,227.450760512869,0,0,0,0,0,0,0,57.8621638854749,0,0,0,0,0,0,0,0,0
36,224.473980487606,0,0,0,0,0,0,0,61.3022604698541,0,0,0,0,0,0,0,0,0
37,221.802880594262,0,0,0,0,0,0,0,64.3419421555675,0,0,0,0,0,0,0,0,0
38,219.411376986777,0,0.0568489891985713,0,0,0,0,0,66.9996803219943,0,0,0,0,0,0,0,0,0
39,216.536156839133,0,0.173678394261594,0,0,0,0,0,69.9473282671359,0,0,0,0,0,0,0,0,0
40,213.310048568823,0,0.372008101145506,0,0,0,0,0,73.0149747641878,0,0,0,0,0,0,0,0,0
41,209.846888228417,0,0.666513806469837,0,0,0,0,0,76.0760590795475,0,0,0,0,0,0,0,0,0
42,206.244189386539,0,1.06584117615991,0,0,0,0,0,79.0378244279656,0,0,0,0,0,0,0,0,0
43,202.585185505102,0,1.57348495663021,0,0,0,0,0,81.8336304344644,0,0,0,0,0,0,0,0,0
44,198.940798197012,0,2.18867018138419,0,0,0,0,0,84.417031789561,0,0,0,0,0,0,0,0,0
45,195.37129482904,0,2.90718804626098,0,0,0,0,0,86.7571390636751,0,0,0,0,0,0,0,0,0
46,191.927424901265,0,3.72212430946739,0,0,0,0,0,88.8348082337418,0,0,0,0,0,0,0,0,0
47,188.592931552476,0,4.64978228853078,0,0,0,0,0,90.6375174727116,0,0,0,0,0,0,0,0,0
48,185.35787619805,0,5.69797412448112,0,0,0,0,0,92.1656345411513,0,0,0,0,0,0,0,0,0
49,181.75741141212,0,6.73819555926048,0,0,0,0,0,93.8380618766917,0,0,0,0,0,0,0,0,0
50,177.913777139031,0,7.78865664702787,0,0,0,0,0,95.5591421391989,0,0,0,0,0,0,0,0,0
51,173.931317483059,0,8.86220931053382,0,0,0,0,0,97.2576969844345,0,0,0,0,0,0,0,0,0
52,169.898880080671,0,9.96717158978537,0,0,0,0,0,98.8815759693849,0,0,0,0,0,0,0,0,0
53,165.891471576473,0,11.1080224463758,0,0,0,0,0,100.393023871082,0,0,0,0,0,0,0,0,0
54,161.972092911646,0,12.2860746609621,0,0,0,0,0,101.76536090445,0,0,0,0,0,0,0,0,0
55,158.193203814793,0,13.5000500568899,0,0,0,0,0,102.980319780541,0,0,0,0,0,0,0,0,0
56,154.5971790073,0,14.7493605230082,0,0,0,0,0,104.026819327434,0,0,0,0,0,0,0,0,0
57,151.172992008383,0,16.044603235363,0,0,0,0,0,104.886964425153,0,0,0,0,0,0,0,0,0
58,147.909914346716,0,17.3915555335788,0,0,0,0,0,105.553235707193,0,0,0,0,0,0,0,0,0
59,144.462209348842,0,18.6305228549889,0,0,0,0,0,106.327148515329,0,0,0,0,0,0,0,0,0
60,140.910096969242,0,19.794140249744,0,0,0,0,0,107.134932521912,0,0,0,0,0,0,0,0,0
61,137.320190925804,0,20.9092143696424,0,0,0,0,0,107.922007979418,0,0,0,0,0,0,0,0,0
62,133.747707625341,0,21.9975997861823,0,0,0,0,0,108.649330153461,0,0,0,0,0,0,0,0,0
63,130.23787852012,0,23.0768118188665,0,0,0,0,0,109.289800742996,0,0,0,0,0,0,0,0,0
64,126.82777689471,0,24.1607359977311,0,0,0,0,0,109.825951762073,0,0,0,0,0,0,0,0,0
65,123.545535566727,0,25.2602104682578,0,0,0,0,0,110.245676114283,0,0,0,0,0,0,0,0,0
66,120.411839627501,0,26.3835400765854,0,0,0,0,0,110.541580221338,0,0,0,0,0,0,0,0,0
67,117.414814523022,0,27.5361644048667,0,0,0,0,0,110.695851322413,0,0,0,0,0,0,0,0,0
68,114.543565448143,0,28.7205206538821,0,0,0,0,0,110.700835656053,0,0,0,0,0,0,0,0,0
69,111.562848213871,0,29.7621477916577,0,0,0,0,0,110.769885608558,0,0,0,0,0,0,0,0,0
70,108.526113314414,0,30.6986373637476,0,0,0,0,0,110.85189052345,0,0,0,0,0,0,0,0,0
71,105.477971684963,0,31.5613774044545,0,0,0,0,0,110.91068781147,0,0,0,0,0,0,0,0,0
72,102.455693465739,0,32.3764874615815,0,0,0,0,0,110.922106316648,0,0,0,0,0,0,0,0,0
73,99.4899820362327,0,33.1653738346926,0,0,0,0,0,110.870781040872,0,0,0,0,0,0,0,0,0
74,96.6063276242932,0,33.9456409838431,0,0,0,0,0,110.748539398561,0,0,0,0,0,0,0,0,0
75,93.8244589465297,0,34.7311384037455,0,0,0,0,0,110.550552444836,0,0,0,0,0,0,0,0,0
76,91.1592320915247,0,35.532564623583,0,0,0,0,0,110.27478567695,0,0,0,0,0,0,0,0,0
77,88.6039691055882,0,36.3524761433821,0,0,0,0,0,109.905102121365,0,0,0,0,0,0,0,0,0
78,86.1524604834262,0,37.1915051997154,0,0,0,0,0,109.433821847639,0,0,0,0,0,0,0,0,0
79,83.6511281396619,0,37.8802682914143,0,0,0,0,0,109.015765731315,0,0,0,0,0,0,0,0,0
