"Time","WWWWWW","WWWWRW","WWWWBW","WWWWRR","WWWWBR","WWWWBB","CWWWWW","CWWWRW","CWWWBW","CWWWRR","CWWWBR","CWWWBB","WGWWWW","WGWWRW","WGWWBW","WGWWRR","WGWWBR","WGWWBB","CGWWWW","CGWWRW","CGWWBW","CGWWRR","CGWWBR","CGWWBB","CWCWWW","CWCWRW","CWCWBW","CWCWRR","CWCWBR","CWCWBB","CWWGWW","CWWGRW","CWWGBW","CWWGRR","CWWGBR","CWWGBB","CGCWWW","CGCWRW","CGCWBW","CGCWRR","CGCWBR","CGCWBB","WGWGWW","WGWGRW","WGWGBW","WGWGRR","WGWGBR","WGWGBB","CGWGWW","CGWGRW","CGWGBW","CGWGRR","CGWGBR","CGWGBB","CGCGWW","CGCGRW","CGCGBW","CGCGRR","CGCGBR","CGCGBB"
22,265.418089407405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3841122215057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,260.76381233389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8582962598684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,255.647955826851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7965992536574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,250.301822871435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9601995858764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,244.912904205186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1560254997315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,239.631568911496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2299857209521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,234.575034335992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0603103738737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,228.930804439138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4571597665516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,222.940511033434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1785836142796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,216.805423623354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.024843109187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,210.689306687887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8287477869155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,204.723569306972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4515717713293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,199.012126850795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7799336287125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,193.635338154481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.7229207442625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,188.653289637782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2094497828822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,184.10858479044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.185852436126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,179.964848136916,0,0.00810144959299746,0,0,0,0,0,0.00810144959299746,0,0,0,0,0,0.00810144959299746,0,0,0.0220260795832712,0,0,106.564157679988,0,0,0.0490874187461359,0,0,0,0,0,0,0,0,0,0,0,0.000103799787754999,0,0,0,0,0,0.0271651389506197,0,0,0,0,0,5.18998938774995e-05,0,0,0,0,0,0.0271651389506197,0,0,0,0,0,0.0271132390567422
39,175.490114716794,0,0.0235356664575965,0,0,0,0,0,0.0235356664575965,0,0,0,0,0,0.0235356664575965,0,0,0.0613292087983619,0,0,110.937186146931,0,0,0.183739771956292,0,0,0,0,0,0,0,0,0,0,0,0.00046830745050613,0,0,0,0,0,0.122878870608437,0,0,0,0,0,0.000234153725253065,0,0,0,0,0,0.122878870608437,0,0,0,0,0,0.122644716883184
40,170.795879018069,0,0.0503969160567172,0,0,0,0,0,0.0503969160567172,0,0,0,0,0,0.0503969160567172,0,0,0.124838680500111,0,0,115.110361089743,0,0,0.422366286477219,0,0,0,0,0,0,0,0,0,0,0,0.00152959464932344,0,0,0,0,0,0.299057200626432,0,0,0,0,0,0.000764797324661719,0,0,0,0,0,0.299057200626432,0,0,0,0,0,0.298292403301771
41,165.976241135913,0,0.0923977918992795,0,0,0,0,0,0.0923977918992795,0,0,0,0,0,0.0923977918992795,0,0,0.217638173650317,0,0,118.950727382839,0,0,0.772269252624732,0,0,0,0,0,0,0,0,0,0,0,0.00393392074662939,0,0,0,0,0,0.558564999721044,0,0,0,0,0,0.0019669603733147,0,0,0,0,0,0.558564999721044,0,0,0,0,0,0.55659803934773
